,Coordinates,Description,ProjectGroup,ProjectName,WWRPfunding,Website
25,47.10486639-122.82187918,"The Capitol Land Trust will use this grant to acquire about 106 acres of marine shoreline, wetland and upland habitat, on Henderson Inlet. The properties contain multiple priority habitat types for many priority species including Chinook, steelhead, coho, chum, forage fish, shellfish and numerous bird species. The site will serve as an outdoor education preserve, which could provide both outdoor recreation and outdoor education opportunities to area schools.  The project is located on the eastern shore of lower Henderson Inlet in Thurston County.  ",WWRP - Urban Wildlife:,Lower Henderson Inlet Habitat Protection,"$610,000",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
26,45.99759659-121.12751292,"Columbia Land Trust will acquire in fee simple approximately 2,700 acres. The site straddles the Wild and Scenic Klickitat River from river mile 37.5 to 38.5 and includes 1.7 miles of two major tributaries - Summit and White Creeks. Its unusual topographic and ecological diversity includes a mosaic of dry and moist mixed conifer forests, oak woodlands, aspen, freshwater wetlands, steep canyons, talus slopes and riparian and river habitats. The primary habitat that will be protected includes riparian and upland, benefiting a diverse array of fish and wildlife species including at least 15 federally listed or species of concern and 21 state listed and candidate species, such as Western gray squirrel and Northern spotted owl. It also supports numerous migratory game species, including mule deer, black-tailed deer, elk, mountain goat and big-horned sheep.",Salmon State Projects:,Mt Adams Klickitat Canyon Phase II,"$343,800",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
27,48.09896336-123.06545542,"The North Olympic Land Trust will use this grant to purchase a permanent agricultural conservation easement on 132 acres and extinguishing seven development rights on the historic Smith Family Farm. The property is located on Port Williams Road in eastern Clallam County and contains all prime and prime, if irrigated, farmland soils.  The farm is planted in spinach and cauliflower seed crops, barley, hay and corn silage, and grass pasture to support the family-owned dairy.  The site is also a popular birding spot, is potential habitat for the Taylor Checkerspot, an endangered species that breeds in the area, and is popular with the Dungeness herd of elk.",WWRP - Farmland Preservation:,Smith Family Farms Phase 1,"$523,800",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
28,47.61084901-117.37292230,"The Spokane Parks and Recreation Department will use this grant to replace the existing neighborhood park and replace three baseball/softball fields with four expanded multipurpose natural turf fields at the Southeast Youth Sports Complex. Additional project elements include a new playground, splash pad, fully accessible restroom, one large picnic shelter and one small shelters. This project also expands the accessible pathways and includes landscaping improvements. The Southeast Youth Sports Complex has been targeted by the City to provide access to an expanded neighborhood park, which is lacking in this part of the city, and improved and safer access to youth sports. The primary recreational opportunity provided by this project is youth active play such as soccer and other field sports. . The City has partnered with the KXLY/QueenB Broadcasting, who will be providing matching funds along with the YAF Project 16-1902 Dev. Southeast Sports Complex Youth Fields for this project.",WWRP - Local Parks:,Southeast Youth Sports Complex Neighborhood Park,"$500,000",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
29,47.25658361-120.89349322,"The Department of Natural Resources will use this grant to finish the renovation of the Teanaway Campground, located in Kittitas County north of Cle Elum. This project will provide funding for materials, staffing, permits, and reconstruction of the interior road system. By renovating the campground and trailhead, there will be improved parking, sanitation, expanded ADA facilities, camping opportunities, and safer access for trucks and camp trailers. The primary recreation opportunity provided by this project is safe and sustainable camping facilities.",WWRP - State Lands Development:,Teanaway Campground Renovation,"$325,000",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
30,45.82053659-121.14890588,"The Washington State Parks and Recreation Commssion will use this grant for development of the Klickitat Trail. The project will establish full continuity for the 31 mile Klickitat Trail located in the Columbia River Gorge in south central Washington by eliminating the last physical gaps. The project includes installing a 20 foot long bridge over Snyder Creek and a 150 foot long bridge over the Klickitat River, upgrading approximately four miles of substandard trail, parking improvements, and developing a new trailhead. Together these improvements will create a fully connected 31 mile trail. The primary recreational opportunity provided by this project is non-motorized trail use.",WWRP - State Parks:,The Klickitat Trail - Bridging the Final Gap,"$1,202,357",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
31,46.95628368-120.30401915,"State Parks will use this grant to install new concrete decking, railing, and safety fencing on the 680 foot long historic Renslow Trestle that connects two portions of the Iron Horse Trail separated by I-90 between the town of Ellensburg and the Columbia River. This project will improve safety and complete the ""missing link"" eliminating the last arduous and convoluted detour between Ellensburg and the Columbia River, resulting in 32 miles of continuous trail. The primary recreation oppotunity provided by this project is non-motorized trail use.",WWRP - State Parks:,Iron Horse-Renslow Trestle Decking and Railing,"$1,235,663",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
32,48.00533844-122.40562740,"The South Whidbey Parks and Recreation District will use this grant to acquire 35 acres and develop phase 1 of a new campground on property immediately adjacent to the district's Community Park. Phase 1 of development includes constructing the first camping loop with 20 campsites, including two fully accessible campsites and a group campsite. Entry road, accessible pathways, and site furnishings are also included. The primary recreational opportunity provided through this project is overnight outdoor recreation.",WWRP - Local Parks:,South Whidbey Campground Phase 1,"$414,647",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
33,47.25233269-120.22945222,"In 2006 a 500 acre forest health restoration project was implemented on WDFW's Colockum Wildlife Area. This project was specifically listed in the 2006 Colockum Wildlife Area Management Plan. The goals of the project were to reduce the density of Douglas Fir and Grand Fir by removing trees that had invaded as a result of past logging practices and wild fire suppression, open up Ponderosa Pine stands using different tree spacing requirements and burn the resulting slash to reduce fuels and improve regeneration of fire-dependent plant species for deer and elk browse. The harvest portion of this project was completed leaving well-spaced stands of large Ponderosa Pines. Harvest slash was not piled, but instead left fairly evenly distributed on the landscape. The prescribed fire portion of the project was not completed. After 10 years abundant fuels remain and now we are seeing natural regeneration of conifer seedlings between the large leave trees. We propose to complete the original project and use manual labor and prescribed fire to reduce fuel loading, stimulate fire-dependent plant species and move the stand towards a condition that a more natural fire return interval would create. Planning, site preparation and implementation would likely span a two-year period.",WWRP - State Lands Restoration:,Colockum Forest Health,"$254,000",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
34,47.64600845-122.29117631,"The city of Seattle will use this grant to renovate, rebuild and replace portions of the floating boardwalk trail system on Foster Island in Seattle’s Washington Park Arboretum. The trail system, which includes a boardwalk, new gangway, and floating walkway segments, will provide barrier-free access and the existing floating walkway will be retrofitted for safety and ADA compliance. The project will address deficiencies in public access, protect and enhance the wetland and riparian systems through which the trail passes, and better connect users with the habitats they are experiencing. The primary recreation opportunity supported by this project is passive recreation.",Aquatic Lands Enhancement Acct:,Arboretum Waterfront Trail Redevelopment,"$475,000",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
35,46.84065637-122.99671911,"The Washington Department of Fish and Wildlife will use this grant to restore rare habitats at five locations in the South Puget Sound area.  Additionally, this project will: a) acquire native seeds and transplants; b) prepare areas for seeding (prescribed fire and invasive control); c) conduct seeding and transplanting; d) control high priority invasive grasses and forbs; and e) implement integrated Scot's broom control. Other actions include Oregon spotted frog habitat enhancement at West Rocky Prairie and oak release at Mima Mounds NAP. This project supports habitat protection and enhancement as well as passive outdoor recreation.",WWRP - State Lands Restoration:,South Puget Sound Grassland Restoration,"$390,750",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
36,48.82069542-122.57432461,"The Department of Fish and Wildlife will use this grant to add 6,300 feet of new accessible trail on the Tennant Lake unit of the Whatcom Wildlife Area, located in Whatcom County. The scope of this project is to provide a mix of new accessible compacted gravel and boardwalk trails that connect to existing trails at Tennant Lake and Hovander Park. The primary recreational opportunities provided by this grant are hiking and wildlife viewing.",WWRP - State Lands Development:,South Tennant Lake Boardwalk Trail Development,"$315,000",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
37,48.03423647-122.15272441,"The City of Marysville wil use grant funds to develop Olympic View Park located adjacent to the Ebey Waterfront Trail and the Qwuloolt estuary. The site will include new shoreline access within a community park setting. Construction elements include parking, restrooms, play areas, landscaping, signage and interpretation, and ADA compliant access route to the Ebey Waterfront Trail. The primary recreational opportunity provided by this project is active play and shoreline trail access.  ",WWRP - Local Parks:,Olympic View Park Development ,"$500,000",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
38,48.19721743-122.45992145,"Island County will use this grant to acquire 30 acres of low bank waterfront property at Barnum Point, at the mouth of Triangle Cove. The acquisition includes 13 acres of uplands and 17 acres of tidelands. As the only low-bank water access property along Barnum Point, purchasing this property for a public park will also improve the public’s access to more than 2/3 mile of adjacent public beach. The primary recreation opportunities this project will support is water dependent recreation activities such as swimming, kayaking, canoeing, and beachcombing, hiking and biking, while preserving critical marine habitats. ",Aquatic Lands Enhancement Acct:,Barnum Point West Tract Acquisition,"$1,000,000",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
39,47.46884450-121.84140727,"The Department of Natural Resources will use this grant to develop 10 miles of trails in Raging River State Forest, approximately 20 miles east of Seattle, expanding the trail system for mountain biking, hiking, and equestrian opportunities. The proposed new trails will give visitors a safer alternative to using service roads, construct a Mountains to Sound Greenway Regional Trail missing link, provide under-served downhill mountain biking trails, and create a trail connection to Taylor Mountain Forest, an adjacent King County Park. The primary recreation opportunity provided by the project will be improved non-motorized trail recreation in the Raging River State Forest area.",WWRP - State Lands Development:,Raging River St. Forest Trail System Dev.- Phase 2,"$316,800",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
40,47.22547545-122.29258521,"The City of Edgewood will develop 18 vacant acres into a signature community park. Development includes a half mile loop trail, an inclusive destination playground, a picnic shelter, grass amphitheater, restroom, multi-use programmable space, and a permanent site for the iconic 1902 Edgewood-Nyholm Windmill that will be used to generate power for the new park. The primary recreation opportunity provided by this project will be passive and active recreation.",WWRP - Local Parks:,Edgewood Community Park Phase 1,"$500,000",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
41,47.12794542-122.55688618,"The City of Lakewood will use this grant for waterfront improvements at Harry Todd Park, a 17 acre park in Lakewood. The project will improve access to the waterfront by creating ADA accessible pathways from the parking areas to the shoreline, removing and replacing a failing bulkhead, updating access to current docks over the water for fishing, creating areas to launch non-motorized watercraft, and enhancing the swimming beach and open space and picnic areas. The primary outdoor recreation opportunity provided by the project is water access.",Aquatic Lands Enhancement Acct:,Harry Todd Waterfront Improvements ,"$500,000",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
42,48.07155375-119.69240943,"The WA Department of Fish and Wildlife use will this grant to redevelop two access sites on the Bridgeport Bar Unit of the Wells Wildlife area in Douglas County. The scope of work for site #1 will include renovation of a boat launch, parking and staging area, and the intallation of new vault toilet, fencing, and kiosk. The scope of work for site #2 will include regrading and graveling parking area, pave 1 ADA parking space, and installation of new valut toilet and fencing. The primary recreational opportunity provided by this grant is for wildlife viewing, fishing, hunting, and recreational boating. ",WWRP - State Lands Development:,Wells Recreation Site Development,"$258,000",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
43,48.20697347-122.12846946,"The Snohomish County Department of Parks and Recreation will use this grant to develop 6.5 miles of the Whitehorse Trail from its junction with the Centennial Trail to the State Route 530 crossing west of Cicero and a 6-mile stretch from C-Post Road to Swede Heaven Road. The county will grade the original rail bed, install base material, and re-surface the trail with gravel. The Whitehorse Trail is a 28-mile regional, multi-use trail that winds through the North Fork Stillaguamish River valley along an abandoned rail line. The trail stretches from Arlington to Darrington, frequently paralleling State Route 530 and the North Fork Stillaguamish River, rewarding visitors with views of forests, farmland, and mountains. Completing and opening the Whitehorse Trail will offer Snohomish County residents more than 62 miles of contiguous trail with its connection to the Centennial Trail in Arlington. Finishing the trail linkage will not only connect the two municipalities, but also will create a vital tourism arterial, providing a base to further access backcountry trails on land owned by the Washington Department of Natural Resources and the U.S. Forest Service in the northeastern county. Snohomish County will contribute more than $1 million.",WWRP - Trails:,Whitehorse Trail Development - Phase 2,"$1,090,000",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
44,48.31290944-122.38150748,"The Department of Fish and Wildlife will use this grant to restore about 200 acres of diverse native emergent marsh vegetation in the Skagit River Delta by removing a monotypic, invasive cattail meadow from the Island Unit of the Skagit Wildlife Area. This project follows a multi-year control program that has been proven to be effective in eliminating the plant and allow native marsh plants to passively colonize the controlled site. The project is located along the South Fork of the Skagit River between Steamboat and Freshwater Sloughs in Skagit County.",WWRP - State Lands Restoration:,Skagit River Delta Restoration,"$250,000",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
45,47.41881868-120.28365526,"The Eastmont Metropolitan Parks and Recreation District will use this grant to acquire 2.3 acres, complete necessary  cultural resource and environmental investigations, remove invasive species, and install fencing and signs for a new neighborhood park in East Wenatchee of Douglas County, Washington.  The primary purpose of this project is to acquire property for active recreation.",Land and Water Conservation:,East Wenatchee 9th Street Acquisition,"$212,350",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
46,45.99866255-121.52052592,"Columbia Land Trust will use this grant to acquire a conservation easement on 280 acres of agricultural land. The farmland is located in the shadow of Mt. Adams, within the White Salmon River watershed in Trout Lake Valley, Klickitat County. The easement will extinguish 15 development rights. The landowners have utilized organic methods of farming for decades in a valley that is now known for its organic production. ",WWRP - Farmland Preservation:,Trout Lake Valley Phase 3,"$844,987",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
47,47.52266649-121.92886128,"King County DNR and Parks will use this grant to developed phase II of Preston Mill Park. Preston Mill Park is located on Preston-Fall City Road SE between Upper Preston Road SE and SE 86th Street in Issaquah, King County. This project will allow King County DNR and Parks to expand access to the park by installing a restroom building and constructing two ADA parking stalls in the existing parking lot. The primary recreation opportunity provided by this project is outdoor recreation amenities.",WWRP - Local Parks:,Preston Mill Park Phase II Development ,"$202,000",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
48,47.47850446-122.24035727,"King County DNR and Parks will use this grant to construct a 1.2-mile-long segment (Segment A) of the Lake to Sound Trail, the second of six phases. Segment A runs from the Green River Trail near Fort Dent Park in Tukwila through the Black River Riparian Forest to Naches Avenue SW in Renton. This grant will allow King County DNR and Park to develop a 12-foot-wide paved, non-motorized, shared use path and a new 110-foot-long pedestrian and bicycle bridge across the Black River. This segment will complete a 16-mile-long trail from the south end of Lake Washington to Puget Sound, linking the cities of Renton, Tukwila, SeaTac, Burien and Des Moines and connecting to four existing regional trails. The primary recreation opportunity provided by the project will be non-motorized, multi-use trail.",WWRP - Trails:,"Lake to Sound Trail Development, Segment A","$500,000",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
49,46.05001858-121.25295093,"The Department of Natural Resources will use this funding to restore approximately 150 acres of meadow and dry forest habitat within 2,350-acre Klickitat Canyon Natural Resource Conservation Area (NRCA) located in Klickitat and Yakima County. Within the project area, restoration work will include approximately 100 acres of thinning, 50 acres of prescribed burning, 5 acres of native vegetation planting, 10 acres of invasive species control, 2 acres of hydrologic restoration, and removal of accumulations of woody debris. This work will restore ponderosa pine dry forest and seasonally wet meadow habitat that support greater sandhill cranes, long-bearded sego lily, rosy owl-clover, dwarf rush, Pulsifer's monkey-flower, and Kellogg's rush. Along with benefits to these species, this work will also reduce fuels on the landscape and increase fire-resiliency in this portion of the NRCA. The primary habitat to be restored is meadow and dry forest habitat.",WWRP - State Lands Restoration:,Klickitat Canyon NRCA Habitat Restoration South,"$125,000",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
